NOME_SENADOR,DATA,VOTO
RODRIGO PACHECO,19/12/2024,"Presidente(art. 51 RISF)"
TERESA LEITÃO,DATA,RESULTADO
TERESA LEITÃO,20/02/2024,P-NRV
TERESA LEITÃO,20/02/2024,P-NRV
TERESA LEITÃO,05/03/2024,Sim
TERESA LEITÃO,13/03/2024,Sim
TERESA LEITÃO,13/03/2024,Sim
TERESA LEITÃO,10/04/2024,Sim
TERESA LEITÃO,16/04/2024,MIS
TERESA LEITÃO,16/04/2024,MIS
TERESA LEITÃO,17/04/2024,MIS
TERESA LEITÃO,08/05/2024,Sim
TERESA LEITÃO,08/05/2024,Sim
TERESA LEITÃO,08/05/2024,Não
TERESA LEITÃO,08/05/2024,Não
TERESA LEITÃO,15/05/2024,Sim
TERESA LEITÃO,15/05/2024,Não
TERESA LEITÃO,22/05/2024,Sim
TERESA LEITÃO,22/05/2024,Não
TERESA LEITÃO,22/05/2024,Não
TERESA LEITÃO,05/06/2024,Sim
TERESA LEITÃO,18/06/2024,Sim
TERESA LEITÃO,19/06/2024,Votou
TERESA LEITÃO,19/06/2024,Votou
TERESA LEITÃO,19/06/2024,Votou
TERESA LEITÃO,19/06/2024,Votou
TERESA LEITÃO,19/06/2024,Votou
TERESA LEITÃO,19/06/2024,Votou
TERESA LEITÃO,19/06/2024,Votou
TERESA LEITÃO,02/07/2024,AP
TERESA LEITÃO,03/07/2024,Não
TERESA LEITÃO,03/07/2024,Sim
TERESA LEITÃO,10/07/2024,Votou
TERESA LEITÃO,10/07/2024,Votou
TERESA LEITÃO,10/07/2024,Votou
TERESA LEITÃO,10/07/2024,Votou
TERESA LEITÃO,10/07/2024,Votou
TERESA LEITÃO,10/07/2024,Votou
TERESA LEITÃO,10/07/2024,Votou
TERESA LEITÃO,10/07/2024,Votou
TERESA LEITÃO,10/07/2024,Votou
TERESA LEITÃO,10/07/2024,Votou
TERESA LEITÃO,10/07/2024,Votou
TERESA LEITÃO,13/08/2024,LS
TERESA LEITÃO,14/08/2024,LS
TERESA LEITÃO,14/08/2024,LS
TERESA LEITÃO,14/08/2024,LS
TERESA LEITÃO,14/08/2024,LS
TERESA LEITÃO,14/08/2024,LS
TERESA LEITÃO,14/08/2024,LS
TERESA LEITÃO,14/08/2024,LS
TERESA LEITÃO,14/08/2024,LS
TERESA LEITÃO,14/08/2024,LS
TERESA LEITÃO,14/08/2024,LS
TERESA LEITÃO,04/09/2024,Não
TERESA LEITÃO,08/10/2024,Votou
TERESA LEITÃO,12/11/2024,Não
TERESA LEITÃO,12/11/2024,P-NRV
TERESA LEITÃO,18/11/2024,P-NRV
TERESA LEITÃO,18/11/2024,Sim
TERESA LEITÃO,18/11/2024,Sim
TERESA LEITÃO,27/11/2024,Sim
TERESA LEITÃO,10/12/2024,Votou
TERESA LEITÃO,10/12/2024,Votou
TERESA LEITÃO,10/12/2024,Votou
TERESA LEITÃO,10/12/2024,Votou
TERESA LEITÃO,10/12/2024,P-NRV
TERESA LEITÃO,10/12/2024,P-NRV
TERESA LEITÃO,10/12/2024,P-NRV
TERESA LEITÃO,10/12/2024,Votou
TERESA LEITÃO,10/12/2024,Votou
TERESA LEITÃO,10/12/2024,Votou
TERESA LEITÃO,12/12/2024,P-NRV
TERESA LEITÃO,12/12/2024,P-NRV
TERESA LEITÃO,12/12/2024,Votou
TERESA LEITÃO,12/12/2024,Votou
TERESA LEITÃO,12/12/2024,Votou
TERESA LEITÃO,12/12/2024,Não
TERESA LEITÃO,12/12/2024,Sim
TERESA LEITÃO,12/12/2024,Sim
TERESA LEITÃO,12/12/2024,Não
TERESA LEITÃO,12/12/2024,Não
TERESA LEITÃO,17/12/2024,AP
TERESA LEITÃO,17/12/2024,AP
TERESA LEITÃO,17/12/2024,AP
TERESA LEITÃO,17/12/2024,AP
TERESA LEITÃO,18/12/2024,Sim
TERESA LEITÃO,18/12/2024,Sim
TERESA LEITÃO,18/12/2024,Não
TERESA LEITÃO,19/12/2024,Sim
TERESA LEITÃO,19/12/2024,P-NRV
TERESA LEITÃO,19/12/2024,Não
TERESA LEITÃO,19/12/2024,Não
TERESA LEITÃO,19/12/2024,Sim
TERESA LEITÃO,19/12/2024,Não
TERESA LEITÃO,19/12/2024,Sim
TERESA LEITÃO,19/12/2024,Sim
ELIZIANE GAMA,DATA,RESULTADO
ELIZIANE GAMA,20/02/2024,Sim
ELIZIANE GAMA,20/02/2024,Sim
ELIZIANE GAMA,05/03/2024,AP
ELIZIANE GAMA,13/03/2024,Sim
ELIZIANE GAMA,13/03/2024,Sim
ELIZIANE GAMA,10/04/2024,Sim
ELIZIANE GAMA,16/04/2024,LS
ELIZIANE GAMA,16/04/2024,LS
ELIZIANE GAMA,17/04/2024,LS
ELIZIANE GAMA,08/05/2024,Sim
ELIZIANE GAMA,08/05/2024,Sim
ELIZIANE GAMA,08/05/2024,Não
ELIZIANE GAMA,08/05/2024,Não
ELIZIANE GAMA,15/05/2024,AP
ELIZIANE GAMA,15/05/2024,AP
ELIZIANE GAMA,22/05/2024,Sim
ELIZIANE GAMA,22/05/2024,Não
ELIZIANE GAMA,22/05/2024,Não
ELIZIANE GAMA,05/06/2024,Sim
ELIZIANE GAMA,18/06/2024,Sim
ELIZIANE GAMA,19/06/2024,Votou
ELIZIANE GAMA,19/06/2024,MIS
ELIZIANE GAMA,19/06/2024,MIS
ELIZIANE GAMA,19/06/2024,Votou
ELIZIANE GAMA,19/06/2024,MIS
ELIZIANE GAMA,19/06/2024,MIS
ELIZIANE GAMA,19/06/2024,MIS
ELIZIANE GAMA,02/07/2024,AP
ELIZIANE GAMA,03/07/2024,AP
ELIZIANE GAMA,03/07/2024,AP
ELIZIANE GAMA,10/07/2024,P-NRV
ELIZIANE GAMA,10/07/2024,P-NRV
ELIZIANE GAMA,10/07/2024,Votou
ELIZIANE GAMA,10/07/2024,P-NRV
ELIZIANE GAMA,10/07/2024,Votou
ELIZIANE GAMA,10/07/2024,Votou
ELIZIANE GAMA,10/07/2024,Votou
ELIZIANE GAMA,10/07/2024,Votou
ELIZIANE GAMA,10/07/2024,Votou
ELIZIANE GAMA,10/07/2024,Votou
ELIZIANE GAMA,10/07/2024,P-NRV
ELIZIANE GAMA,12/11/2024,Não
ELIZIANE GAMA,12/11/2024,Sim
ELIZIANE GAMA,18/11/2024,NCom
ELIZIANE GAMA,18/11/2024,NCom
ELIZIANE GAMA,18/11/2024,NCom
ELIZIANE GAMA,27/11/2024,Sim
ELIZIANE GAMA,10/12/2024,P-NRV
ELIZIANE GAMA,10/12/2024,P-NRV
ELIZIANE GAMA,10/12/2024,P-NRV
ELIZIANE GAMA,10/12/2024,P-NRV
ELIZIANE GAMA,10/12/2024,P-NRV
ELIZIANE GAMA,10/12/2024,P-NRV
ELIZIANE GAMA,10/12/2024,P-NRV
ELIZIANE GAMA,10/12/2024,P-NRV
ELIZIANE GAMA,10/12/2024,P-NRV
ELIZIANE GAMA,10/12/2024,P-NRV
ELIZIANE GAMA,12/12/2024,P-NRV
ELIZIANE GAMA,12/12/2024,P-NRV
ELIZIANE GAMA,12/12/2024,P-NRV
ELIZIANE GAMA,12/12/2024,P-NRV
ELIZIANE GAMA,12/12/2024,P-NRV
ELIZIANE GAMA,12/12/2024,Não
ELIZIANE GAMA,12/12/2024,Sim
ELIZIANE GAMA,12/12/2024,Sim
ELIZIANE GAMA,12/12/2024,Não
ELIZIANE GAMA,12/12/2024,P-NRV
ELIZIANE GAMA,17/12/2024,P-NRV
ELIZIANE GAMA,17/12/2024,P-NRV
ELIZIANE GAMA,17/12/2024,Sim
ELIZIANE GAMA,17/12/2024,Sim
ELIZIANE GAMA,18/12/2024,Sim
ELIZIANE GAMA,18/12/2024,P-NRV
ELIZIANE GAMA,18/12/2024,P-NRV
ELIZIANE GAMA,19/12/2024,Sim
ELIZIANE GAMA,19/12/2024,Não
ELIZIANE GAMA,19/12/2024,Não
ELIZIANE GAMA,19/12/2024,Não
ELIZIANE GAMA,19/12/2024,Sim
ELIZIANE GAMA,19/12/2024,Não
ELIZIANE GAMA,19/12/2024,Sim
ELIZIANE GAMA,19/12/2024,Sim
ROGERIO MARINHO,DATA,RESULTADO
ROGERIO MARINHO,20/02/2024,Sim
ROGERIO MARINHO,20/02/2024,Não
ROGERIO MARINHO,05/03/2024,Sim
ROGERIO MARINHO,13/03/2024,Sim
ROGERIO MARINHO,13/03/2024,Sim
ROGERIO MARINHO,10/04/2024,Sim
ROGERIO MARINHO,16/04/2024,Sim
ROGERIO MARINHO,16/04/2024,Sim
ROGERIO MARINHO,17/04/2024,AP
ROGERIO MARINHO,08/05/2024,Não
ROGERIO MARINHO,08/05/2024,Não
ROGERIO MARINHO,08/05/2024,Sim
ROGERIO MARINHO,08/05/2024,Sim
ROGERIO MARINHO,15/05/2024,Sim
ROGERIO MARINHO,15/05/2024,Sim
ROGERIO MARINHO,22/05/2024,P-NRV
ROGERIO MARINHO,22/05/2024,Sim
ROGERIO MARINHO,22/05/2024,Sim
ROGERIO MARINHO,05/06/2024,Sim
ROGERIO MARINHO,18/06/2024,Sim
ROGERIO MARINHO,12/11/2024,Sim
ROGERIO MARINHO,12/11/2024,Não
ROGERIO MARINHO,18/11/2024,Não
ROGERIO MARINHO,18/11/2024,Não
ROGERIO MARINHO,18/11/2024,Sim
ROGERIO MARINHO,27/11/2024,Sim
ROGERIO MARINHO,10/12/2024,LS
ROGERIO MARINHO,10/12/2024,LS
ROGERIO MARINHO,10/12/2024,LS
ROGERIO MARINHO,10/12/2024,LS
ROGERIO MARINHO,10/12/2024,LS
ROGERIO MARINHO,10/12/2024,LS
ROGERIO MARINHO,10/12/2024,LS
ROGERIO MARINHO,10/12/2024,LS
ROGERIO MARINHO,10/12/2024,LS
ROGERIO MARINHO,10/12/2024,LS
ROGERIO MARINHO,12/12/2024,P-NRV
ROGERIO MARINHO,12/12/2024,Votou
ROGERIO MARINHO,12/12/2024,Votou
ROGERIO MARINHO,12/12/2024,Votou
ROGERIO MARINHO,12/12/2024,Votou
ROGERIO MARINHO,12/12/2024,Sim
ROGERIO MARINHO,12/12/2024,Não
ROGERIO MARINHO,12/12/2024,Não
ROGERIO MARINHO,12/12/2024,Sim
ROGERIO MARINHO,12/12/2024,P-NRV
ROGERIO MARINHO,17/12/2024,P-NRV
ROGERIO MARINHO,17/12/2024,P-NRV
ROGERIO MARINHO,17/12/2024,P-NRV
ROGERIO MARINHO,17/12/2024,Sim
ROGERIO MARINHO,18/12/2024,Sim
ROGERIO MARINHO,18/12/2024,Sim
ROGERIO MARINHO,18/12/2024,Sim
ROGERIO MARINHO,19/12/2024,Sim
ROGERIO MARINHO,19/12/2024,Sim
ROGERIO MARINHO,19/12/2024,Sim
ROGERIO MARINHO,19/12/2024,Sim
ROGERIO MARINHO,19/12/2024,Não
ROGERIO MARINHO,19/12/2024,Sim
ROGERIO MARINHO,19/12/2024,Não
ROGERIO MARINHO,19/12/2024,Não
RODRIGO CUNHA,DATA,RESULTADO
RODRIGO CUNHA,20/02/2024,Sim
RODRIGO CUNHA,20/02/2024,Não
RODRIGO CUNHA,05/03/2024,Sim
RODRIGO CUNHA,13/03/2024,Sim
RODRIGO CUNHA,13/03/2024,Sim
RODRIGO CUNHA,10/04/2024,Sim
RODRIGO CUNHA,16/04/2024,Sim
RODRIGO CUNHA,16/04/2024,Sim
RODRIGO CUNHA,17/04/2024,Sim
RODRIGO CUNHA,08/05/2024,AP
RODRIGO CUNHA,08/05/2024,AP
RODRIGO CUNHA,08/05/2024,AP
RODRIGO CUNHA,08/05/2024,AP
RODRIGO CUNHA,15/05/2024,Sim
RODRIGO CUNHA,15/05/2024,Sim
RODRIGO CUNHA,22/05/2024,Sim
RODRIGO CUNHA,22/05/2024,Sim
RODRIGO CUNHA,22/05/2024,Sim
RODRIGO CUNHA,05/06/2024,Sim
RODRIGO CUNHA,18/06/2024,Sim
RODRIGO CUNHA,19/06/2024,Votou
RODRIGO CUNHA,19/06/2024,Votou
RODRIGO CUNHA,19/06/2024,Votou
RODRIGO CUNHA,19/06/2024,Votou
